old_path,new_path,before_kb,after_kb,new_dimensions
assets/embedded/embedded_017_9499c6d2f7fa6792.png,assets/perf/hero.webp,2049.4,211.3,1600x900
assets/embedded/embedded_016_f7f3ba218a0ccd7d.png,assets/perf/logo.webp,1831.8,140.7,1100x367
assets/embedded/embedded_015_ecf6e1641295e1f1.png,assets/perf/footer.webp,2011.5,119.1,1600x533
assets/contact_route_premium.png,assets/perf/contact-route.webp,2521.8,139.6,1280x720
assets/embedded/embedded_033_0daef5561b35e7b9.png,assets/perf/benefit-1.webp,1718.0,34.0,960x640
assets/embedded/embedded_034_b5b44c62fd6be02c.png,assets/perf/benefit-2.webp,1767.0,37.8,960x640
assets/embedded/embedded_035_acec9e6b6563a6d5.png,assets/perf/benefit-3.webp,1882.9,54.5,960x640
assets/embedded/embedded_036_bdd7d48518eca4e1.png,assets/perf/benefit-4.webp,1911.5,47.1,960x640
assets/icons_site_v4/brakes.png,assets/perf/icons/brakes.webp,1672.3,37.7,384x384
assets/icons_site_v4/steering.png,assets/perf/icons/steering.webp,923.5,31.8,384x384
assets/icons_site_v4/turbo.png,assets/perf/icons/turbo.webp,1571.5,33.2,384x384
assets/icons_site_v4/electrics.png,assets/perf/icons/electrics.webp,1487.7,30.8,384x384
assets/icons_site_v4/wash.png,assets/perf/icons/wash.webp,1724.3,56.2,384x384
assets/icons_site_v4/cooling.png,assets/perf/icons/cooling.webp,1842.6,38.7,384x384
assets/icons_site_v4/climate.png,assets/perf/icons/climate.webp,1742.2,40.8,384x384
assets/icons_site_v4/fuel.png,assets/perf/icons/fuel.webp,886.9,25.9,384x384
assets/icons_site_v4/exhaust.png,assets/perf/icons/exhaust.webp,831.2,25.7,384x384
assets/icons_site_v4/welding.png,assets/perf/icons/welding.webp,1368.9,46.3,384x384
assets/embedded/embedded_002_064bc55ceaf9c81a.webp,assets/perf/sections/section-02.webp,123.2,59.5,1280x427
assets/embedded/embedded_003_bb246147ab94ff99.webp,assets/perf/sections/section-03.webp,107.5,50.6,1280x427
assets/embedded/embedded_004_0f43013b5512d9de.webp,assets/perf/sections/section-04.webp,115.6,58.4,1280x427
assets/embedded/embedded_005_28fadaca11c114d9.webp,assets/perf/sections/section-05.webp,140.1,73.3,1280x427
assets/embedded/embedded_006_24f1a6b0b07bd0f2.webp,assets/perf/sections/section-06.webp,109.1,50.8,1280x427
assets/embedded/embedded_007_b1908a8e416d2b22.webp,assets/perf/sections/section-07.webp,284.8,88.0,1600x533
assets/embedded/embedded_008_d77bd6078da317ef.webp,assets/perf/sections/section-08.webp,255.6,76.0,1600x533
assets/embedded/embedded_009_3d866656a422941c.webp,assets/perf/sections/section-09.webp,268.3,86.6,1600x533
assets/embedded/embedded_010_856720174e8cf72c.webp,assets/perf/sections/section-10.webp,323.8,108.9,1600x533
assets/embedded/embedded_011_5f6c26c633dc1da6.webp,assets/perf/sections/section-11.webp,249.7,75.9,1600x533
assets/gallery/work_01.webp,assets/perf/gallery/work_01.webp,269.4,149.3,1440x1080
assets/gallery/work_02.webp,assets/perf/gallery/work_02.webp,305.8,177.7,1440x1080
assets/gallery/work_03.webp,assets/perf/gallery/work_03.webp,108.7,65.0,810x1440
assets/gallery/work_04.webp,assets/perf/gallery/work_04.webp,440.2,281.5,1440x1080
assets/gallery/work_05.webp,assets/perf/gallery/work_05.webp,140.2,125.3,865x1158
assets/gallery/work_06.webp,assets/perf/gallery/work_06.webp,436.6,280.6,1440x1080
assets/gallery/work_07.webp,assets/perf/gallery/work_07.webp,277.1,176.2,1440x1080
assets/gallery/work_08.webp,assets/perf/gallery/work_08.webp,227.2,137.2,1080x1440
assets/gallery/work_09.webp,assets/perf/gallery/work_09.webp,369.1,233.1,1080x1440
assets/gallery/work_10.webp,assets/perf/gallery/work_10.webp,187.5,123.0,1080x1440
assets/gallery/work_11.webp,assets/perf/gallery/work_11.webp,173.6,105.1,811x1440
assets/gallery/work_12.webp,assets/perf/gallery/work_12.webp,146.9,129.5,960x1280
assets/gallery/work_13.webp,assets/perf/gallery/work_13.webp,290.9,182.8,1080x1440
assets/gallery/work_14.webp,assets/perf/gallery/work_14.webp,227.3,140.8,1080x1440
assets/gallery/work_15.webp,assets/perf/gallery/work_15.webp,148.6,93.8,1080x1440
assets/gallery/work_16.webp,assets/perf/gallery/work_16.webp,216.8,200.8,720x1280
assets/gallery/work_17.webp,assets/perf/gallery/work_17.webp,114.6,99.2,960x1280
assets/gallery/work_18.webp,assets/perf/gallery/work_18.webp,193.6,175.5,960x1280
